0.192,0.187,0.199,0.187,0.192,0.192,0.193,0.190,0.192,0.200,0.199
0.195,0.193,0.195,0.205,0.192,0.193,0.199,0.197,0.195,0.202,0.190
0.187,0.190,0.194,0.190,0.195,0.192,0.199,0.194,0.194,0.202,0.193
0.188,0.193,0.193,0.196,0.194,0.196,0.204,0.192,0.196,0.200,0.189
0.197,0.191,0.192,0.200,0.197,0.202,0.202,0.196,0.195,0.198,0.196
0.194,0.192,0.197,0.208,0.197,0.202,0.201,0.198,0.196,0.199,0.192
0.191,0.194,0.193,0.200,0.193,0.193,0.201,0.199,0.196,0.200,0.191
0.198,0.196,0.194,0.198,0.191,0.197,0.202,0.193,0.192,0.196,0.190
0.199,0.192,0.192,0.197,0.191,0.204,0.199,0.197,0.196,0.194,0.189
0.196,0.191,0.193,0.198,0.193,0.195,0.203,0.194,0.202,0.196,0.189
0.193,0.196,0.191,0.196,0.200,0.192,0.204,0.199,0.194,0.198,0.185
Thickness_Mean, 0.195366479338843
Thickness_StdDev, 0.004315894958278693
