0.191,0.190,0.203,0.193,0.197,0.196,0.200,0.197,0.197,0.200,0.200
0.197,0.194,0.196,0.195,0.198,0.198,0.200,0.200,0.198,0.204,0.188
0.190,0.195,0.206,0.198,0.197,0.194,0.200,0.195,0.196,0.202,0.190
0.196,0.197,0.198,0.197,0.198,0.198,0.203,0.196,0.195,0.201,0.196
0.191,0.191,0.200,0.198,0.197,0.198,0.206,0.197,0.197,0.205,0.190
0.191,0.189,0.194,0.203,0.196,0.195,0.204,0.194,0.196,0.199,0.191
0.194,0.193,0.201,0.201,0.195,0.193,0.200,0.207,0.200,0.199,0.204
0.197,0.201,0.193,0.199,0.196,0.193,0.195,0.199,0.197,0.198,0.212
0.199,0.192,0.193,0.201,0.202,0.196,0.196,0.198,0.206,0.203,0.201
0.201,0.194,0.193,0.198,0.193,0.197,0.203,0.201,0.198,0.203,0.194
0.182,0.181,0.182,0.186,0.188,0.187,0.189,0.196,0.205,0.190,0.186
Thickness_Mean, 0.19662146280991732
Thickness_StdDev, 0.005258368906267609
